account_id,account_type,bot_type,is_bot,followers_count,friends_count,statuses_count,listed_count,favourites_count,account_age_days,tweets_per_day,follower_friend_ratio,timing_regularity,burst_score,url_ratio,retweet_ratio,hashtag_density,mention_ratio,linguistic_consistency,engagement_rate,network_clustering,profile_completeness,name_entropy,coordinated_score,has_profile_image,has_geo_enabled,has_url_in_profile,is_verified
ACC00010,genuine,genuine,0,2556,4536,5515,7,3918,1455,3.7904,0.5634,0.157,0.235,0.5029,0.4129,0.4572,0.4835,0.128,0.3774,0.4124,0.5,4.173,0.1412,1,1,0,0
ACC00011,spambot_3,spambot3,1,3252,198,1683,0,386,1589,1.0592,16.3417,0.5742,0.4063,0.738,0.2652,0.7814,0.2643,0.3836,0.0863,0.6253,0.25,3.6031,0.7069,0,0,1,0
ACC00012,genuine,genuine,0,1318,477,6431,8,614,2325,2.766,2.7573,0.333,0.2245,0.1838,0.2295,0.2591,0.428,0.4409,0.334,0.4632,0.3,2.1093,0.1448,1,0,0,0
ACC00013,genuine,genuine,0,6642,541,1753,43,4024,1992,0.88,12.2546,0.1124,0.2776,0.3313,0.1505,0.0515,0.361,0.0935,0.129,0.3395,0.3,3.2002,0.1235,1,0,0,0
ACC00014,spambot_1,spambot1,1,56,28,17270,0,0,1661,10.3974,1.931,0.8879,0.6684,0.9872,0.9193,0.9258,0.6953,0.7396,0.02,0.8306,0.3,4.1936,0.7801,1,0,0,0
ACC00015,spambot_2,spambot2,1,306,290,2920,9,911,1515,1.9274,1.0515,0.8895,0.5831,0.7324,0.5804,0.6519,0.4424,0.9201,0.0408,0.6994,0.3,2.7727,0.6126,1,0,0,0
ACC00016,genuine,genuine,0,295,2677,15071,166,7605,1973,7.6386,0.1102,0.2223,0.3071,0.5985,0.3609,0.2994,0.0601,0.1814,0.039,0.276,0.55,3.97,0.1018,1,0,1,0
ACC00017,genuine,genuine,0,855,1156,10861,66,3721,3423,3.1729,0.739,0.1287,0.4177,0.201,0.4431,0.1418,0.4619,0.0278,0.0159,0.0914,0.3,3.289,0.2672,1,0,0,0
ACC00018,genuine,genuine,0,289,35,2731,293,641,1784,1.5308,8.0278,0.0901,0.5534,0.3464,0.2613,0.0142,0.2111,0.3852,0.2059,0.7343,0.45,3.4142,0.0726,0,1,1,0
ACC00019,genuine,genuine,0,593,1228,12138,55,474,3540,3.4288,0.4825,0.3315,0.2086,0.2083,0.4327,0.0796,0.2223,0.2543,0.0206,0.2853,0.5,3.6153,0.0335,1,1,0,0
ACC00020,spambot_1,spambot1,1,58,55,4241,10,14,1130,3.7531,1.0357,0.9407,0.8636,0.9832,0.8546,0.7451,0.6636,0.6863,0.0468,0.8322,0.3,5.056,0.7209,1,0,0,0
ACC00021,genuine,genuine,0,1337,381,658,1,1567,1731,0.3801,3.5,0.1678,0.5208,0.3902,0.7448,0.3699,0.2452,0.3833,0.3233,0.346,0.75,3.2015,0.0888,1,1,1,0
ACC00022,genuine,genuine,0,879,2512,815,161,2200,2732,0.2983,0.3498,0.3625,0.313,0.185,0.4517,0.196,0.3878,0.1195,0.2209,0.3175,0.5,2.3165,0.0657,1,1,0,0
ACC00023,genuine,genuine,0,4366,390,5705,645,445,2295,2.4858,11.1662,0.1251,0.2256,0.2179,0.547,0.3176,0.2248,0.0696,0.0646,0.6965,0.3,2.189,0.3056,1,0,0,0
ACC00024,genuine,genuine,0,15458,265,14722,77,2926,3256,4.5215,58.1128,0.498,0.4517,0.2102,0.4081,0.1003,0.3111,0.4447,0.1926,0.3251,0.3,2.8637,0.3987,1,0,0,0
ACC00025,genuine,genuine,0,7090,2277,2889,25,43183,2657,1.0873,3.1124,0.2236,0.3772,0.2174,0.2477,0.0899,0.214,0.1686,1.6713,0.1759,0.55,4.0063,0.0472,1,0,1,0
ACC00026,genuine,genuine,0,1100,318,1563,8,6513,2409,0.6488,3.4483,0.0231,0.1189,0.361,0.121,0.1365,0.2542,0.217,0.311,0.1664,0.5,3.2147,0.2645,1,1,0,0
ACC00027,genuine,genuine,0,1040,498,23783,29,4464,2578,9.2254,2.0842,0.4562,0.3854,0.1027,0.3131,0.25,0.0264,0.0937,0.2359,0.4862,0.3,2.4415,0.049,1,0,0,0
ACC00028,genuine,genuine,0,1716,2967,16914,101,2742,2429,6.9634,0.5782,0.0982,0.0606,0.168,0.4271,0.4111,0.217,0.1549,0.2117,0.1236,0.45,3.4657,0.2523,0,1,1,0
ACC00029,spambot_1,spambot1,1,18,19,3674,0,104,1438,2.5549,0.9,0.8001,0.7487,0.8574,0.7377,0.6521,0.4592,0.7014,0.3397,0.499,0.3,3.9934,0.625,1,0,0,0
ACC00030,spambot_1,spambot1,1,58,268,3014,0,2,1132,2.6625,0.2156,0.7699,0.5495,0.8768,0.6265,0.7094,0.439,0.9915,0.017,0.6574,0.3,4.6007,0.8468,1,0,0,0
ACC00031,spambot_3,spambot3,1,461,2050,3528,3,1549,1361,2.5922,0.2248,0.482,0.2802,0.4237,0.7231,0.462,0.1195,0.3685,0.0664,0.7009,0.3,3.9026,0.3718,1,0,0,0
ACC00032,genuine,genuine,0,3696,261,8977,32,517,2186,4.1066,14.1069,0.1423,0.5,0.1183,0.311,0.4791,0.1854,0.226,0.0367,0.2755,0.3,2.8237,0.0477,1,0,0,0
ACC00033,genuine,genuine,0,683,858,7242,20,2537,2282,3.1735,0.7951,0.2236,0.4655,0.4201,0.0698,0.5133,0.3865,0.5312,0.3053,0.5283,0.2,3.3859,0.2102,0,1,0,0
ACC00034,spambot_3,spambot3,1,674,2834,2686,4,4922,1976,1.3593,0.2377,0.4845,0.4566,0.6602,0.8901,0.3931,0.7802,0.1959,0.0169,0.4144,0.0,3.4068,0.818,0,0,0,0
ACC00035,genuine,genuine,0,13749,180,6737,22,448,2426,2.777,75.9613,0.4269,0.4262,0.4402,0.0908,0.149,0.2772,0.2376,0.6603,0.811,0.3,2.6371,0.1654,1,0,0,0
ACC00036,spambot_2,spambot2,1,527,43,23404,68,665,1717,13.6308,11.9773,0.6402,0.5565,0.7728,0.6741,0.7983,0.6906,0.9759,0.015,0.5616,0.55,3.7754,0.954,1,0,1,0
ACC00037,genuine,genuine,0,1395,131,3204,64,113,2469,1.2977,10.5682,0.3154,0.2136,0.3562,0.2955,0.0921,0.5971,0.0849,0.0271,0.1988,0.55,3.2607,0.0415,1,0,1,0
ACC00038,spambot_1,spambot1,1,12,61,9881,0,75,1182,8.3596,0.1935,0.8237,0.9311,0.9848,0.8632,0.4155,0.4422,0.9282,0.0298,0.8337,0.3,5.086,0.8243,1,0,0,0
ACC00039,spambot_3,spambot3,1,3344,3354,1481,1,8165,1931,0.767,0.9967,0.7551,0.569,0.7936,0.4934,0.6618,0.7271,0.4611,0.0417,0.6228,0.3,3.2325,0.5535,1,0,0,0
ACC00040,spambot_3,spambot3,1,155,1430,11588,22,172,2611,4.4381,0.1083,0.5945,0.85,0.5116,0.7432,0.7229,0.5734,0.7638,0.0584,0.4245,0.5,4.4967,0.7992,1,1,0,0
ACC00041,genuine,genuine,0,832,842,6290,15,10109,2331,2.6984,0.987,0.1131,0.2314,0.3127,0.1434,0.4113,0.1452,0.4362,0.3735,0.3268,0.45,3.6524,0.1728,0,1,1,0
ACC00042,spambot_1,spambot1,1,35,24,6978,0,74,1885,3.7019,1.4,0.8916,0.5601,0.9694,0.8979,0.5904,0.7216,0.898,0.1467,0.7895,0.2,4.5465,0.8187,0,1,0,0
ACC00043,genuine,genuine,0,1210,467,3659,41,372,736,4.9715,2.5855,0.0525,0.5567,0.3247,0.0674,0.2928,0.2708,0.1121,0.4631,0.6032,0.55,3.0814,0.0115,1,0,1,0
ACC00044,genuine,genuine,0,1228,98,1033,5,678,2056,0.5024,12.404,0.503,0.115,0.3399,0.6773,0.0307,0.2556,0.0834,0.783,0.3629,0.75,2.3117,0.0123,1,1,1,0
ACC00045,genuine,genuine,0,459,956,1470,60,8519,3258,0.4512,0.4796,0.1627,0.3303,0.5262,0.6133,0.4604,0.0735,0.5648,0.1758,0.4891,0.75,2.3984,0.2016,1,1,1,0
ACC00046,genuine,genuine,0,1848,1075,5229,7,5033,3121,1.6754,1.7175,0.0236,0.1961,0.287,0.5527,0.0827,0.1848,0.0434,0.5731,0.0884,0.55,3.0405,0.0574,1,0,1,0
ACC00047,spambot_3,spambot3,1,5143,7827,4682,26,2072,2944,1.5904,0.657,0.7207,0.4532,0.759,0.3923,0.3573,0.3965,0.5399,0.0847,0.7033,0.5,3.4903,0.4197,1,1,0,0
ACC00048,spambot_3,spambot3,1,557,119,8845,8,1618,2136,4.1409,4.6417,0.6741,0.41,0.4136,0.3499,0.5091,0.6995,0.4552,0.0503,0.2956,0.25,3.6939,0.3211,0,0,1,0
ACC00049,spambot_1,spambot1,1,26,353,2209,0,39,1966,1.1236,0.0734,0.9744,0.6952,0.7796,0.8512,0.8688,0.5844,0.7546,0.047,0.6149,0.3,4.5088,0.977,1,0,0,0
ACC00050,genuine,genuine,0,250,239,5898,8,889,1349,4.3721,1.0417,0.2191,0.2467,0.0971,0.1108,0.2916,0.181,0.0918,0.3309,0.2859,0.75,4.0606,0.1475,1,1,1,0
ACC00051,genuine,genuine,0,2851,1680,2189,2,9074,1269,1.725,1.696,0.0476,0.2504,0.1827,0.3127,0.2186,0.12,0.1401,0.043,0.5993,0.5,3.495,0.2818,1,1,0,0
ACC00052,genuine,genuine,0,516,4237,37694,86,22823,1990,18.9417,0.1218,0.2662,0.3843,0.0222,0.23,0.1648,0.3551,0.1145,0.3485,0.609,0.55,2.5935,0.012,1,0,1,0
ACC00053,genuine,genuine,0,1309,317,2043,9,3433,1500,1.362,4.1164,0.1003,0.4767,0.1889,0.099,0.1909,0.0456,0.0665,0.0233,0.4221,0.55,3.2551,0.1925,1,0,1,0
ACC00054,spambot_3,spambot3,1,205,168,792,32,603,1903,0.4162,1.213,0.5709,0.6268,0.4185,0.5177,0.6335,0.5989,0.6398,0.0913,0.3067,0.5,3.6,0.5772,1,1,0,0
ACC00055,genuine,genuine,0,4179,834,1918,33,5268,2346,0.8176,5.0048,0.3592,0.3449,0.2752,0.3308,0.195,0.1247,0.056,0.2026,0.3016,0.55,3.4696,0.0009,1,0,1,0
ACC00056,genuine,genuine,0,467,475,17630,83,117,2869,6.145,0.9811,0.6142,0.2485,0.0758,0.5191,0.2543,0.6409,0.2311,0.2142,0.2822,0.2,3.8702,0.1435,0,1,0,0
ACC00057,spambot_3,spambot3,1,191,691,2690,5,12915,2754,0.9768,0.276,0.5887,0.4707,0.5285,0.6603,0.2504,0.499,0.5494,0.0856,0.7269,0.3,2.1182,0.5202,1,0,0,0
ACC00058,genuine,genuine,0,680,1243,10214,7,590,1193,8.5616,0.5466,0.264,0.4822,0.0793,0.5894,0.5938,0.2988,0.389,0.126,0.4466,0.3,2.8833,0.1473,1,0,0,0
ACC00059,genuine,genuine,0,2994,1380,21748,383,865,1279,17.0039,2.168,0.0857,0.4329,0.4514,0.249,0.3392,0.1196,0.1312,0.062,0.156,0.3,4.1373,0.0905,1,0,0,0
ACC00060,genuine,genuine,0,4028,1412,4776,11,2210,3203,1.4911,2.8507,0.1336,0.179,0.6603,0.3738,0.2789,0.2541,0.0608,0.1174,0.3671,0.55,2.9425,0.0258,1,0,1,0
ACC00061,genuine,genuine,0,1175,378,17478,141,2622,2876,6.0772,3.1003,0.2857,0.084,0.4045,0.6213,0.1158,0.2457,0.1312,0.4252,0.0263,0.3,3.1607,0.0429,1,0,0,0
ACC00062,genuine,genuine,0,3965,2188,7624,11,28162,2670,2.8554,1.8113,0.4406,0.125,0.3526,0.279,0.1052,0.1095,0.2091,0.1634,0.7012,0.3,4.3128,0.0251,1,0,0,0
ACC00063,spambot_1,spambot1,1,139,570,3831,0,236,1979,1.9358,0.2434,0.6523,0.8561,0.8768,0.6897,0.7804,0.7651,0.843,0.0092,0.4674,0.75,5.3877,0.7209,1,1,1,0
ACC00064,spambot_2,spambot2,1,18,1238,642,0,1920,1770,0.3627,0.0145,0.7498,0.5858,0.6328,0.4726,0.6412,0.6522,0.5705,0.0436,0.7456,0.3,3.8392,0.4667,1,0,0,0
ACC00065,genuine,genuine,0,856,85,8297,14,993,2465,3.3659,9.9535,0.0929,0.1014,0.4634,0.4699,0.2761,0.2568,0.1188,0.1949,0.2181,0.3,2.8642,0.1411,1,0,0,0
ACC00066,spambot_1,spambot1,1,95,137,6293,0,39,1848,3.4053,0.6884,0.9563,0.7848,0.918,0.68,0.7722,0.467,0.9781,0.0932,0.7904,0.0,4.5066,0.7684,0,0,0,0
ACC00067,genuine,genuine,0,249,87,8149,254,542,1378,5.9136,2.8295,0.231,0.1415,0.1789,0.5003,0.4132,0.1811,0.0629,0.3132,0.6024,0.5,4.52,0.2511,1,1,0,0
ACC00068,spambot_2,spambot2,1,131,275,4496,1,180,1902,2.3638,0.4746,0.5424,0.6219,0.7521,0.6192,0.7721,0.7771,0.613,0.142,0.8548,0.0,4.1541,0.6882,0,0,0,0
ACC00069,spambot_3,spambot3,1,243,3628,5544,1,485,2372,2.3373,0.067,0.8845,0.3464,0.7245,0.1685,0.5678,0.6639,0.455,0.0743,0.601,0.55,2.4448,0.735,1,0,1,0
ACC00070,genuine,genuine,0,7056,679,13236,55,2914,1405,9.4206,10.3765,0.3261,0.4808,0.0742,0.2877,0.6278,0.3996,0.404,0.2007,0.3709,0.2,3.7096,0.0106,0,1,0,0
ACC00071,genuine,genuine,0,2460,2861,2333,18,9040,1259,1.8531,0.8595,0.1549,0.2247,0.2341,0.3222,0.3101,0.3395,0.0189,0.0805,0.2993,0.5,3.9075,0.0608,1,1,0,0
ACC00072,spambot_1,spambot1,1,724,60,6821,3,8,1362,5.0081,11.8689,0.7835,0.8939,0.9775,0.5351,0.8746,0.4789,0.844,0.0549,0.6777,0.0,4.6955,0.8919,0,0,0,0
ACC00073,genuine,genuine,0,10346,522,40131,192,5205,2523,15.9061,19.782,0.2891,0.0771,0.1634,0.0741,0.3195,0.0845,0.0469,0.1056,0.4686,0.55,1.7228,0.0084,1,0,1,0
ACC00074,genuine,genuine,0,301,900,7672,17,4398,2480,3.0935,0.3341,0.4183,0.0332,0.1363,0.1257,0.1379,0.0958,0.2327,0.0707,0.4244,0.0,2.9195,0.1133,0,0,0,0
ACC00075,genuine,genuine,0,1287,229,6268,450,1629,2360,2.6559,5.5957,0.0506,0.5152,0.7843,0.3433,0.2541,0.1868,0.2522,0.3206,0.3906,0.55,4.1664,0.0875,1,0,1,0
ACC00076,genuine,genuine,0,4089,310,1915,14,2392,2299,0.833,13.1479,0.5392,0.526,0.3513,0.3649,0.1767,0.2575,0.4775,0.1847,0.2575,0.55,3.9863,0.0165,1,0,1,0
ACC00077,spambot_2,spambot2,1,124,40,1566,23,765,1461,1.0719,3.0244,0.4119,0.7151,0.7231,0.8355,0.3921,0.7743,0.7828,0.0931,0.7594,0.55,3.1541,0.6168,1,0,1,0
ACC00078,genuine,genuine,0,318,191,2690,30,7582,1619,1.6615,1.6562,0.1601,0.2322,0.5471,0.2919,0.2855,0.1988,0.3286,0.3443,0.1959,0.55,3.5999,0.0376,1,0,1,0
ACC00079,genuine,genuine,0,716,177,5785,231,2279,1191,4.8573,4.0225,0.2304,0.1792,0.3477,0.1688,0.1542,0.3354,0.2408,0.1256,0.2777,0.3,3.2504,0.0417,1,0,0,0
ACC00080,spambot_3,spambot3,1,1657,317,1050,1,2041,2674,0.3927,5.2107,0.3936,0.5055,0.7871,0.464,0.3296,0.5952,0.4586,0.0092,0.6245,0.3,3.1551,0.676,1,0,0,0
ACC00081,genuine,genuine,0,103,794,6226,16,332,2067,3.0121,0.1296,0.3698,0.0559,0.3093,0.2336,0.3835,0.522,0.3834,13.8137,0.1327,0.75,3.734,0.0556,1,1,1,0
ACC00082,spambot_2,spambot2,1,230,704,4073,0,164,2069,1.9686,0.3262,0.6903,0.6153,0.8196,0.7473,0.5423,0.7947,0.8088,0.0137,0.5348,0.3,3.4136,0.7856,1,0,0,0
ACC00083,genuine,genuine,0,2836,376,9031,30,1390,2099,4.3025,7.5225,0.2361,0.4578,0.3391,0.2893,0.4776,0.4588,0.1966,0.5182,0.0942,0.3,3.9421,0.0559,1,0,0,0
ACC00084,genuine,genuine,0,822,604,6415,88,298,2009,3.1931,1.3587,0.2369,0.0465,0.2107,0.596,0.3383,0.0738,0.0766,0.0241,0.0172,0.75,2.1631,0.0208,1,1,1,0
ACC00085,genuine,genuine,0,6080,983,15743,16,3785,2714,5.8007,6.1789,0.113,0.3377,0.0419,0.5085,0.1781,0.7925,0.1318,0.1629,0.1147,0.55,3.4542,0.0211,1,0,1,0
ACC00086,genuine,genuine,0,1811,280,3078,43,1203,2125,1.4485,6.4448,0.1486,0.2089,0.22,0.3798,0.1286,0.117,0.1515,0.6911,0.607,0.25,3.0101,0.2661,0,0,1,0
ACC00087,spambot_2,spambot2,1,65,2041,3691,14,3240,2303,1.6027,0.0318,0.7616,0.6884,0.619,0.1127,0.8523,0.7548,0.6316,0.0841,0.7251,0.3,5.3663,0.9705,1,0,0,0
ACC00088,genuine,genuine,0,29400,248,13258,26,1448,2778,4.7725,118.0723,0.3756,0.0826,0.1488,0.1136,0.337,0.1458,0.1808,0.774,0.633,0.3,3.5105,0.0577,1,0,0,0
ACC00089,spambot_2,spambot2,1,116,143,5323,4,355,2238,2.3785,0.8056,0.449,0.3227,0.4385,0.4829,0.6454,0.8857,0.373,0.0189,0.5508,0.3,3.2137,0.8397,1,0,0,0
ACC00090,genuine,genuine,0,154,240,3173,6,1197,1726,1.8384,0.639,0.2262,0.2957,0.2682,0.1427,0.2432,0.2942,0.1006,0.1209,0.3192,0.5,3.545,0.2067,1,1,0,0
ACC00091,genuine,genuine,0,6154,68,2076,18,235,1078,1.9258,89.1884,0.0665,0.3507,0.1042,0.3303,0.3965,0.1518,0.1394,1.5492,0.4216,0.75,3.425,0.2775,1,1,1,0
ACC00092,spambot_3,spambot3,1,630,5383,26556,39,1322,1530,17.3569,0.117,0.3763,0.3803,0.6306,0.1138,0.5678,0.5516,0.2873,0.0334,0.374,0.3,2.82,0.6387,1,0,0,0
ACC00093,spambot_2,spambot2,1,3275,1019,15867,19,388,1349,11.762,3.2108,0.4148,0.7036,0.9065,0.5428,0.6303,0.524,0.8126,0.0267,0.7643,0.0,4.5115,0.7634,0,0,0,0
ACC00094,genuine,genuine,0,468,440,18406,2,748,3193,5.7645,1.0612,0.0888,0.4032,0.2362,0.3045,0.1194,0.4754,0.0909,0.3377,0.5789,0.3,3.4848,0.033,1,0,0,0
ACC00095,genuine,genuine,0,982,130,10554,49,1101,1433,7.365,7.4962,0.4994,0.3918,0.1554,0.6188,0.4705,0.1396,0.3864,0.3367,0.3517,0.3,3.6963,0.0709,1,0,0,0
ACC00096,genuine,genuine,0,2440,1365,3955,171,7905,1762,2.2446,1.7862,0.1476,0.4675,0.1679,0.3795,0.3444,0.3095,0.5816,0.0635,0.4105,0.55,2.3165,0.1854,1,0,1,0
ACC00097,genuine,genuine,0,931,415,27419,73,1635,2948,9.3009,2.238,0.1428,0.4267,0.2702,0.0621,0.0777,0.3138,0.15,0.5064,0.5079,0.3,3.6856,0.0937,1,0,0,0
ACC00098,spambot_2,spambot2,1,239,515,1735,10,224,1793,0.9677,0.4632,0.2662,0.4668,0.9483,0.513,0.8241,0.8703,0.9483,0.0189,0.9125,0.5,3.8517,0.8253,1,1,0,0
ACC00099,spambot_1,spambot1,1,30,232,1445,0,1,2276,0.6349,0.1288,0.8843,0.6896,0.8865,0.8391,0.6508,0.2496,0.8483,0.1132,0.4033,0.3,4.6534,0.5894,1,0,0,0
ACC00100,spambot_1,spambot1,1,13,39,20795,11,3,2122,9.7997,0.325,0.6484,0.895,0.9695,0.9074,0.4272,0.6258,0.9142,0.0421,0.7541,0.55,3.8242,0.7179,1,0,1,0
ACC00101,spambot_3,spambot3,1,336,2198,1835,1,1609,1220,1.5041,0.1528,0.1725,0.4351,0.335,0.8356,0.867,0.4205,0.2333,0.0287,0.8659,0.3,4.3561,0.6885,1,0,0,0
ACC00102,genuine,genuine,0,1696,148,7811,125,4285,1538,5.0787,11.3826,0.0429,0.1173,0.2475,0.5119,0.123,0.4054,0.3088,1.8888,0.4865,0.3,3.6872,0.0305,1,0,0,0
ACC00103,genuine,genuine,0,2968,366,7772,19,831,1879,4.1362,8.0872,0.2065,0.1895,0.1275,0.6145,0.171,0.1628,0.4147,0.0706,0.7611,0.5,3.5155,0.0667,1,1,0,0
ACC00104,genuine,genuine,0,724,1044,4732,55,4991,2694,1.7565,0.6928,0.1481,0.3278,0.2835,0.2244,0.1293,0.0621,0.2806,0.0131,0.6003,0.3,3.6379,0.1621,1,0,0,0
ACC00105,spambot_1,spambot1,1,5,69,1220,1,20,1421,0.8586,0.0714,0.8939,0.8462,0.9729,0.7622,0.7982,0.3371,0.8214,0.0107,0.9237,0.3,4.7613,0.761,1,0,0,0
ACC00106,genuine,genuine,0,3444,291,4936,128,11982,2413,2.0456,11.7945,0.1582,0.1087,0.173,0.2141,0.4287,0.3228,0.5098,0.9014,0.2686,0.3,3.0909,0.0924,1,0,0,0
ACC00107,genuine,genuine,0,812,1215,13456,2,3054,2513,5.3546,0.6678,0.0802,0.2955,0.2336,0.1683,0.3254,0.3633,0.0642,0.2307,0.1246,0.5,3.11,0.1034,1,1,0,0
ACC00108,genuine,genuine,0,97,667,9845,326,70,1212,8.1229,0.1452,0.3554,0.4035,0.4087,0.5862,0.1818,0.1575,0.0486,0.3535,0.3496,0.5,3.2831,0.1407,1,1,0,0
ACC00109,genuine,genuine,0,2934,348,633,48,12258,1490,0.4248,8.4069,0.2417,0.7328,0.4599,0.1641,0.4039,0.3385,0.1103,0.6603,0.2223,0.5,2.5011,0.0334,1,1,0,0
ACC00110,genuine,genuine,0,12274,261,5449,572,1087,2935,1.8566,46.8473,0.3014,0.2234,0.5455,0.5936,0.1717,0.4412,0.0115,0.1375,0.4978,0.3,4.3589,0.0977,1,0,0,0
ACC00111,genuine,genuine,0,406,167,19969,88,513,1612,12.3877,2.4167,0.2594,0.119,0.0992,0.5254,0.2953,0.1204,0.1183,0.968,0.3833,0.3,2.7868,0.0244,1,0,0,0
ACC00112,genuine,genuine,0,6633,1558,5553,34,12530,502,11.0618,4.2547,0.1877,0.6406,0.2165,0.1239,0.1614,0.3339,0.2368,0.0998,0.283,0.25,3.3981,0.0852,0,0,1,0
ACC00113,spambot_1,spambot1,1,39,13,3645,0,4,2038,1.7885,2.7857,0.7159,0.9439,0.8437,0.6451,0.9491,0.3474,0.7604,0.0883,0.8521,0.0,4.4076,0.6631,0,0,0,0
ACC00114,genuine,genuine,0,475,2640,13921,51,5680,2843,4.8966,0.1799,0.1029,0.3728,0.3831,0.2452,0.1544,0.1613,0.4298,0.2444,0.141,0.75,2.9132,0.2225,1,1,1,0
ACC00115,spambot_1,spambot1,1,156,222,2072,0,180,1606,1.2902,0.6996,0.532,0.9149,0.6398,0.473,0.8643,0.8719,0.78,0.063,0.7667,0.3,4.5906,0.8991,1,0,0,0
ACC00116,spambot_3,spambot3,1,323,1754,8481,1,1481,2103,4.0328,0.184,0.3912,0.5325,0.4748,0.7641,0.2272,0.3312,0.3741,0.027,0.6799,0.5,3.3334,0.6674,1,1,0,0
ACC00117,genuine,genuine,0,1192,400,12474,0,1176,2744,4.5459,2.9726,0.1304,0.4738,0.2438,0.1705,0.0706,0.1353,0.1365,1.3157,0.3148,0.55,3.4673,0.0208,1,0,1,0
ACC00118,spambot_3,spambot3,1,13502,247,886,4,501,2265,0.3912,54.4435,0.4564,0.2253,0.4679,0.6149,0.5623,0.8812,0.8013,0.0094,0.6239,0.55,3.3682,0.4272,1,0,1,0
ACC00119,spambot_2,spambot2,1,65,112,3708,2,1268,2054,1.8053,0.5752,0.7295,0.7434,0.672,0.3273,0.7133,0.6279,0.7133,0.0058,0.4694,0.5,2.8911,0.7922,1,1,0,0
ACC00120,genuine,genuine,0,646,573,1944,2,818,2820,0.6894,1.1254,0.3923,0.2145,0.1348,0.4577,0.2912,0.235,0.1711,0.4013,0.6805,0.0,2.7812,0.0607,0,0,0,0
ACC00121,spambot_1,spambot1,1,34,76,832,0,1,1280,0.65,0.4416,0.7066,0.9145,0.8711,0.8863,0.8745,0.8138,0.8735,0.1807,0.8123,0.3,4.7336,0.7661,1,0,0,0
ACC00122,spambot_3,spambot3,1,148,1499,80584,2,8193,2245,35.8949,0.0987,0.7159,0.3765,0.8832,0.7204,0.4237,0.7105,0.7535,0.0356,0.5367,0.3,3.5695,0.7243,1,0,0,0
ACC00123,spambot_3,spambot3,1,608,722,18599,7,990,1357,13.706,0.8409,0.4299,0.2375,0.5285,0.4349,0.7735,0.517,0.3799,0.0301,0.6853,0.55,3.265,0.6159,1,0,1,0
ACC00124,spambot_1,spambot1,1,6,37,3745,0,18,1248,3.0008,0.1579,0.8107,0.93,0.9412,0.7298,0.9337,0.6198,0.9133,0.0526,0.8789,0.3,4.8887,0.7163,1,0,0,0
ACC00125,spambot_3,spambot3,1,195,399,3834,74,15754,2123,1.8059,0.4875,0.5886,0.5934,0.6454,0.2188,0.5878,0.6929,0.7619,0.0578,0.4949,0.75,4.4276,0.7457,1,1,1,0
